"num","team","epa_rank","total_epa","norm_epa","unitless_epa","auto_epa","teleop_epa","endgame_epa","rp_1_epa","rp_2_epa","rp_3_epa","next_event_key","next_event_name","next_event_week","record","winrate"
"2137","The Oxford RoboCats","91","73.5","1739","1811","19.9","45.7","7.9","0.57","0.76","0.29","2025cmptx","FIRST Championship","8","37-12-0","0.755"
"5216","E-Ville Empire","92","73.4","1738","1811","19.8","49","4.6","0.64","0.62","0.08","N/A","N/A","N/A","37-17-0","0.685"
"8884","Knight Owls","93","73.3","1738","1810","18.1","48.8","6.5","0.53","0.46","0.35","2025cmptx","FIRST Championship","8","34-14-1","0.704"
"4028","The Beak Squad","94","73.3","1737","1810","21.2","44.9","7.1","0.43","0.51","0.39","2025cmptx","FIRST Championship","8","28-3-0","0.903"
"4020","Cyber Tribe","95","73.2","1737","1809","22.2","43.7","7.3","0.5","0.52","0.39","2025cmptx","FIRST Championship","8","25-7-0","0.781"
"4499","The Highlanders","96","73.1","1736","1808","19.8","44.5","8.8","0.59","0.37","0.51","2025cmptx","FIRST Championship","8","26-6-0","0.813"
"2075","Enigma Robotics","97","73.1","1736","1808","17.9","45.4","9.7","0.5","0.36","0.6","2025cmptx","FIRST Championship","8","47-9-0","0.839"
"2530","Inconceivable","98","72.8","1734","1806","17","44.3","11.5","0.43","0.27","0.56","2025cmptx","FIRST Championship","8","23-11-0","0.676"
"862","Lightning Robotics","99","72.8","1734","1806","15.8","45.5","11.5","0.43","0.35","0.76","2025cmptx","FIRST Championship","8","54-11-0","0.831"
"3173","IgKnighters","100","72.7","1733","1805","18.8","43.3","10.6","0.5","0.49","0.7","2025cmptx","FIRST Championship","8","25-16-0","0.610"
